file1 file2 flip heuristic runtime closed open
../data/random_experiments_paper/n_25/set_2/triangulation/t_11 ../data/random_experiments_paper/n_25/set_2/triangulation/t_9 -1 35 180000 3919927 37136699
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_13 33 30 44977 1136934 11608977
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_14 37 33 76259 1867676 18436971
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_15 31 26 114179 2917840 25409273
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_16 29 27 7641 227919 2552309
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_17 32 27 64297 1786495 14915645
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_18 26 26 0 26 557
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_19 35 31 114381 2911377 24375006
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_2 -1 32 180000 4734472 34522819
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_3 32 28 34064 871114 9731950
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_4 31 29 662 26055 386615
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_5 30 26 15897 470365 4766040
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_6 31 28 4568 151628 1686823
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_7 -1 32 180000 4831237 36842406
../data/random_experiments_paper/n_25/set_2/triangulation/t_12 ../data/random_experiments_paper/n_25/set_2/triangulation/t_8 -1 28 180000 4631615 35558449
